,id,geometry
425,4354431921,POINT (-76.49342249999999 38.9872321)
426,4354431922,POINT (-76.4927742 38.9873605)
427,4835957716,POINT (-76.4944467 38.994348)
428,102620127,POINT (-76.48936759999999 38.9802862)
429,102620129,POINT (-76.49030689999999 38.9794219)
430,102554613,POINT (-76.49368219999999 38.9899015)
431,102652979,POINT (-76.502027 38.9804705)
432,102587586,POINT (-76.487414 38.9779579)
433,102587587,POINT (-76.4876415 38.9781048)
434,4383628533,POINT (-76.4872752 38.9773667)
435,4383628535,POINT (-76.4872471 38.9773629)
436,4383628537,POINT (-76.4868767 38.9771056)
437,5488762136,POINT (-76.4945554 38.9879619)
438,7229545534,POINT (-76.50351209999999 38.9864994)
439,11400928887,POINT (-76.4773014 38.9806201)
440,102620903,POINT (-76.50100089999999 38.9801936)
441,102620905,POINT (-76.50104399999999 38.9798547)
442,8413536022,POINT (-76.5008076 38.9904742)
443,3981041564,POINT (-76.4878463 38.975283)
444,102653935,POINT (-76.49848369999999 38.9730545)
445,102588622,POINT (-76.49592029999999 38.9725189)
446,102555936,POINT (-76.4820769 38.9837194)
447,3583828380,POINT (-76.4978634 38.9908601)
448,3583828391,POINT (-76.4977311 38.9916435)
449,8389550498,POINT (-76.502702 38.9889973)
450,8389550499,POINT (-76.50175900000001 38.9897471)
451,8390795753,POINT (-76.4936431 38.9870564)
452,8390795756,POINT (-76.49360470000001 38.9870876)
453,102621697,POINT (-76.5042291 38.9882665)
454,7308468739,POINT (-76.4923422 38.9781527)
455,102621740,POINT (-76.49670450000001 38.9784019)
456,102589040,POINT (-76.48749460000001 38.9822325)
457,4835974738,POINT (-76.4887973 38.9846186)
458,3812745895,POINT (-76.4866863 38.9828524)
459,3812745896,POINT (-76.4874849 38.9819465)
460,3812745902,POINT (-76.4876082 38.982032)
461,4835974741,POINT (-76.48981430000001 38.984897)
462,102589151,POINT (-76.4803039 38.9825613)
463,102589153,POINT (-76.47874640000001 38.981544)
464,1303929588,POINT (-76.4993618 38.9791137)
465,1303929594,POINT (-76.4987696 38.9791487)
466,1303929615,POINT (-76.49484579999999 38.9814477)
467,1303929626,POINT (-76.4938351 38.9818452)
468,1303929669,POINT (-76.49907109999999 38.979165)
469,1303929676,POINT (-76.4990754 38.9790974)
470,1303929693,POINT (-76.49878080000001 38.9790767)
471,1303929704,POINT (-76.5002346 38.9792324)
472,1303929715,POINT (-76.4904971 38.9782878)
473,1303929720,POINT (-76.4911805 38.9801023)
474,1303929752,POINT (-76.4941781 38.9820683)
475,1303929755,POINT (-76.5002392 38.979171)
476,1303929756,POINT (-76.4892069 38.9776704)
477,1303929757,POINT (-76.4946638 38.9816176)
478,1303929764,POINT (-76.5011581 38.9790095)
479,1303929769,POINT (-76.4974105 38.9796625)
